Lugares,Bandas,Actores/Actrices,Escritores,Figuras históricas,Películas/Sagas,Comidas/Bebidas
Rusia,The Beatles,Ricardo Darín,Jorge Luis Borges,Jesús,2001 Odisea al espacio,Milanesas
Alemania,Sui Generis,Guillermo Francella,Edgar Allan Poe,Napoleón,Pulp Fiction,Empanadas
La Plata,Daft Punk,Leonardo DiCaprio,Homero,J. F. Kennedy,Memento,Asado
Montevideo,Radiohead,Brad Pitt,Miguel de Cervantes,J. D. Perón,Se7en: los siete pecados capitales,Cerveza
Los Ángeles,Queen,Uma Thurman,Stephen King,D. F. Sarmiento,Fight Club,Vino
New York,Pink Floyd,Scarlett Johansson,Arthur Conan Doyle,San Martín,Kill Bill,Pizza
Nueva Zelanda,Led Zeppelin ,Anne Hathaway,Kafka,Buda,Psycho (Psicosis),Sorrentinos
Paris,Rammstein,Jennifer Aniston,Hermann Hesse,Colón,El padrino,Vodka
Roma,Nirvana,Meryl Streep,Charles Dickens,Hitler,Harry Potter,Mate
África,Megadeth,Al Pacino,J. K. Rowling,Julio César,Jurassic Park,Locro
Cuba,Soda Stereo,Hugh Jackman,Agatha Christie,Maquiavelo,Red social,Panqueques
Groenlandia,Los Piojos,Johnny Depp,Julio Cortázar,Sócrates,El código enigma,Pollo
Japón,The Police,Leonardo Sbaraglia,Ray Bradbury,Isaac Newton,La vida es bella,Estofado
